id,oneway,category,nodes
292,False,service,"[u'1759597720', u'2695865752', u'2695865748', u'2719031559', u'2719031560', u'2719031561', u'2719031562', u'2719031563', u'2719031564', u'2719031565', u'2719031566', u'2695865749', u'1797203225', u'2695865750', u'2695865751', u'3880367292', u'1759597941']"
293,False,service,"[u'1759597941', u'3880367292', u'2695865751', u'2695865750', u'1797203225', u'2695865749', u'2719031566', u'2719031565', u'2719031564', u'2719031563', u'2719031562', u'2719031561', u'2719031560', u'2719031559', u'2695865748', u'2695865752', u'1759597720']"
294,False,service,"[u'1759597893', u'1759597584']"
295,False,service,"[u'1759597584', u'1759597893']"
296,False,service,"[u'1759597743', u'1759597808']"
297,False,service,"[u'1759597808', u'1759597743']"
298,False,service,"[u'1759597891', u'1759598158']"
299,False,service,"[u'1759598158', u'1759597891']"
300,False,service,"[u'1759598158', u'2719194247']"
301,False,service,"[u'2719194247', u'1759598158']"
302,False,service,"[u'2719194247', u'1759597838']"
303,False,service,"[u'1759597838', u'2719194247']"
304,False,service,"[u'1759597542', u'1759598224']"
305,False,service,"[u'1759598224', u'1759597542']"
306,False,service,"[u'1759598224', u'1759597664']"
307,False,service,"[u'1759597664', u'1759598224']"
308,False,service,"[u'1759597664', u'2717808059', u'1759598095', u'1759597856', u'1759597885', u'1759597926', u'1759597521', u'1759597548', u'1759597930', u'1759597582', u'1759597822', u'1759597916', u'1487328506']"
309,False,service,"[u'1487328506', u'1759597916', u'1759597822', u'1759597582', u'1759597930', u'1759597548', u'1759597521', u'1759597926', u'1759597885', u'1759597856', u'1759598095', u'2717808059', u'1759597664']"
310,False,service,"[u'1759598009', u'1759597836']"
311,False,service,"[u'1759597836', u'1759598009']"
312,False,service,"[u'1759597981', u'1759597889']"
313,False,service,"[u'1759597889', u'1759597981']"
314,False,service,"[u'1759597889', u'1759597850', u'1759597558', u'1759597606', u'1759597953']"
315,False,service,"[u'1759597953', u'1759597606', u'1759597558', u'1759597850', u'1759597889']"
316,False,service,"[u'1759597953', u'1759597634', u'1759597804', u'1759597849', u'1759597623']"
317,False,service,"[u'1759597623', u'1759597849', u'1759597804', u'1759597634', u'1759597953']"
318,False,service,"[u'1759597587', u'1759597720']"
319,False,service,"[u'1759597720', u'1759597587']"
320,False,service,"[u'1759598077', u'1759597586', u'1759597516', u'1759597604']"
321,False,service,"[u'1759597604', u'1759597516', u'1759597586', u'1759598077']"
322,False,service,"[u'1759597604', u'1759597840', u'1759598144', u'2717808171', u'1759597567']"
323,False,service,"[u'1759597567', u'2717808171', u'1759598144', u'1759597840', u'1759597604']"
324,False,service,"[u'1759597567', u'1759597996']"
