id,from,to,cost,nodes
424,2703797224,2703797225,126.10538498503132,"[u'2703797224', u'2703797225']"
425,2703797225,2703797224,126.10538498519477,"[u'2703797225', u'2703797224']"
426,2703797225,2703797226,6.7246520463273765,"[u'2703797225', u'2703797226']"
427,2703797226,2703797225,6.72465204623613,"[u'2703797226', u'2703797225']"
428,1487328506,1487328508,9.79241698005595,"[u'1487328506', u'1487328508']"
429,1487328508,1487328506,9.792416980066012,"[u'1487328508', u'1487328506']"
430,1487328508,2614586196,226.056039508093,"[u'1487328508', u'1759597639', u'1759597798', u'1759597819', u'1759597887', u'1759598018', u'1759598059', u'1759598168', u'2614586196']"
431,2614586196,1487328508,226.05603950780915,"[u'2614586196', u'1759598168', u'1759598059', u'1759598018', u'1759597887', u'1759597819', u'1759597798', u'1759597639', u'1487328508']"
432,2614586196,1759597845,518.9797559545478,"[u'2614586196', u'1759597546', u'1759597671', u'1759597730', u'1759597942', u'1759597860', u'3880367469', u'1759597647', u'1759597977', u'1759597955', u'1759597989', u'1759597961', u'3879213217', u'1759597845']"
433,1759597845,2614586196,518.9797559547185,"[u'1759597845', u'3879213217', u'1759597961', u'1759597989', u'1759597955', u'1759597977', u'1759597647', u'3880367469', u'1759597860', u'1759597942', u'1759597730', u'1759597671', u'1759597546', u'2614586196']"
434,1759597845,2717928772,90.79088302045486,"[u'1759597845', u'2717928773', u'2717928772']"
435,2717928772,1759597845,90.79088302056935,"[u'2717928772', u'2717928773', u'1759597845']"
436,2717928772,1759597979,29.364508005974322,"[u'2717928772', u'1759597979']"
437,1759597979,2717928772,29.36450800608621,"[u'1759597979', u'2717928772']"
438,1759597979,1759598121,222.00055994934993,"[u'1759597979', u'1759598121']"
439,1759598121,1759597979,222.00055994934525,"[u'1759598121', u'1759597979']"
440,1759598121,1759597852,10.93998742505228,"[u'1759598121', u'1759597852']"
441,1759597852,1759598121,10.939987425087656,"[u'1759597852', u'1759598121']"
442,1759597852,1759597608,178.4792257331462,"[u'1759597852', u'2717558615', u'2717544107', u'2717862466', u'2717862473', u'1759597608']"
443,1759597608,1759597852,178.47922573375402,"[u'1759597608', u'2717862473', u'2717862466', u'2717544107', u'2717558615', u'1759597852']"
444,1759597706,1759598009,29.608470185702537,"[u'1759597706', u'1759598009']"
445,1759598009,1759597706,29.60847018600767,"[u'1759598009', u'1759597706']"
446,1759598009,1759597623,674.1893990624959,"[u'1759598009', u'3879213214', u'1759598117', u'1759597975', u'1759598237', u'1759597877', u'1759598132', u'1759597514', u'1759597899', u'1759597628', u'1759597874', u'1759597998', u'1759597623']"
447,1759597623,1759598009,674.1893990633134,"[u'1759597623', u'1759597998', u'1759597874', u'1759597628', u'1759597899', u'1759597514', u'1759598132', u'1759597877', u'1759598237', u'1759597975', u'1759598117', u'3879213214', u'1759598009']"
448,2696067979,2717862538,99.99572752159509,"[u'2696067979', u'2717862535', u'2717862536', u'2717862537', u'2717862538']"
449,2717862538,2696067979,99.99572752186585,"[u'2717862538', u'2717862537', u'2717862536', u'2717862535', u'2696067979']"
450,2717862538,1759597722,117.84069365675288,"[u'2717862538', u'2717862539', u'2717862540', u'2717862541', u'1759597722']"
451,1759597722,2717862538,117.84069365671436,"[u'1759597722', u'2717862541', u'2717862540', u'2717862539', u'2717862538']"
452,1759597722,1797189479,18.35277207568995,"[u'1759597722', u'2717862542', u'2717862543', u'2717862544', u'1797189479']"
453,1797189479,1759597722,18.352772076008165,"[u'1797189479', u'2717862544', u'2717862543', u'2717862542', u'1759597722']"
